time	V4_0	V4_1	V4_2	V4_3	V4_4	V4_5	V4_6	V4_7	V4_8	V4_9	V4_10	V4_11	V4_12	V4_13	V4_14	V4_15	V4_16	V4_17	V4_18	V4_19	V4_20	V4_21	V4_22	V4_23	V4_24	V4_25	V4_26	V4_27	V4_28	V4_29	V4_30	V4_31	V4_32	V4_33	V4_34	V4_35	V4_36	V4_37	V4_38	V4_39	V4_40	V4_41	V4_42	V4_43	V4_44	V4_45	V4_46	V4_47	V4_48	V4_49
1.02	1.000439	1.000442	1.000393	1.000444	1.000438	1.00037	1.000436	1.000422	1.00038	1.000421	1.000411	1.000438	1.00034	1.000417	1.000436	1.000463	1.000436	1.000308	1.000431	1.000349	1.000419	1.000413	1.000379	1.000412	1.000444	1.000334	1.000448	1.000451	1.000377	1.000399	1.000418	1.000423	1.00043	1.000426	1.000465	1.000365	1.000417	1.00044	1.000449	1.000416	1.000392	1.000367	1.000448	1.000447	1.000429	1.000391	1.000352	1.00044	1.000442	1.000445
1.04	1.00044	1.000442	1.000394	1.000444	1.000438	1.000371	1.000436	1.000422	1.00038	1.000421	1.000411	1.000438	1.00034	1.000417	1.000436	1.000463	1.000436	1.000308	1.000431	1.00035	1.00042	1.000413	1.00038	1.000412	1.000445	1.000334	1.000449	1.000452	1.000377	1.000399	1.000418	1.000423	1.00043	1.000426	1.000465	1.000366	1.000418	1.00044	1.00045	1.000416	1.000392	1.000367	1.000448	1.000447	1.00043	1.000391	1.000353	1.00044	1.000442	1.000445
1.06	1.00044	1.000443	1.000394	1.000445	1.000439	1.000371	1.000437	1.000423	1.00038	1.000421	1.000412	1.000438	1.000341	1.000418	1.000436	1.000464	1.000437	1.000308	1.000432	1.00035	1.00042	1.000413	1.00038	1.000413	1.000445	1.000335	1.000449	1.000452	1.000378	1.0004	1.000419	1.000424	1.000431	1.000426	1.000466	1.000366	1.000418	1.00044	1.00045	1.000416	1.000393	1.000368	1.000448	1.000447	1.00043	1.000391	1.000353	1.00044	1.000442	1.000445
1.08	1.00044	1.000443	1.000395	1.000446	1.000439	1.000371	1.000437	1.000423	1.000381	1.000421	1.000412	1.000439	1.000341	1.000418	1.000437	1.000464	1.000437	1.000309	1.000432	1.000351	1.00042	1.000414	1.00038	1.000413	1.000445	1.000335	1.000449	1.000452	1.000378	1.0004	1.000419	1.000424	1.000431	1.000427	1.000466	1.000367	1.000419	1.000441	1.00045	1.000417	1.000393	1.000368	1.000449	1.000448	1.00043	1.000392	1.000354	1.000441	1.000443	1.000445
1.1	1.000441	1.000444	1.000395	1.000446	1.000439	1.000372	1.000437	1.000423	1.000381	1.000422	1.000413	1.000439	1.000342	1.000418	1.000437	1.000464	1.000438	1.000309	1.000432	1.000351	1.000421	1.000414	1.000381	1.000413	1.000446	1.000336	1.00045	1.000453	1.000378	1.0004	1.00042	1.000425	1.000432	1.000427	1.000466	1.000367	1.000419	1.000441	1.000451	1.000417	1.000394	1.000369	1.000449	1.000448	1.000431	1.000392	1.000354	1.000441	1.000443	1.000446
1.12	1.000441	1.000444	1.000395	1.000447	1.00044	1.000372	1.000438	1.000424	1.000382	1.000422	1.000413	1.000439	1.000342	1.000418	1.000438	1.000465	1.000438	1.000309	1.000433	1.000352	1.000421	1.000414	1.000381	1.000414	1.000446	1.000336	1.00045	1.000453	1.000379	1.000401	1.00042	1.000425	1.000432	1.000427	1.000467	1.000367	1.000419	1.000441	1.000451	1.000417	1.000394	1.000369	1.00045	1.000448	1.000431	1.000393	1.000354	1.000442	1.000444	1.000446
1.14	1.000442	1.000445	1.000396	1.000448	1.00044	1.000373	1.000438	1.000424	1.000382	1.000422	1.000414	1.000439	1.000342	1.000419	1.000438	1.000465	1.000439	1.000309	1.000433	1.000352	1.000421	1.000415	1.000381	1.000414	1.000446	1.000337	1.000451	1.000453	1.000379	1.000401	1.00042	1.000426	1.000432	1.000428	1.000467	1.000368	1.00042	1.000442	1.000451	1.000417	1.000395	1.000369	1.00045	1.000449	1.000432	1.000393	1.000355	1.000442	1.000444	1.000446
1.16	1.000442	1.000445	1.000396	1.000448	1.00044	1.000373	1.000439	1.000425	1.000383	1.000423	1.000414	1.00044	1.000343	1.000419	1.000438	1.000465	1.000439	1.00031	1.000433	1.000353	1.000422	1.000415	1.000382	1.000415	1.000447	1.000338	1.000451	1.000453	1.00038	1.000401	1.000421	1.000426	1.000433	1.000428	1.000467	1.000368	1.00042	1.000442	1.000452	1.000418	1.000395	1.00037	1.000451	1.000449	1.000432	1.000394	1.000355	1.000443	1.000444	1.000446
1.18	1.000442	1.000446	1.000397	1.000449	1.000441	1.000374	1.00044	1.000425	1.000383	1.000423	1.000415	1.00044	1.000343	1.000419	1.000439	1.000466	1.00044	1.00031	1.000434	1.000353	1.000422	1.000416	1.000382	1.000415	1.000447	1.000338	1.000452	1.000454	1.00038	1.000401	1.000421	1.000426	1.000433	1.000428	1.000468	1.000369	1.00042	1.000442	1.000452	1.000418	1.000396	1.00037	1.000451	1.00045	1.000432	1.000394	1.000356	1.000443	1.000445	1.000447
1.2	1.000443	1.000446	1.000397	1.00045	1.000441	1.000374	1.00044	1.000426	1.000383	1.000423	1.000415	1.00044	1.000344	1.00042	1.000439	1.000466	1.00044	1.00031	1.000434	1.000354	1.000422	1.000416	1.000382	1.000415	1.000448	1.000339	1.000452	1.000454	1.00038	1.000402	1.000422	1.000427	1.000434	1.000429	1.000468	1.000369	1.000421	1.000443	1.000452	1.000418	1.000396	1.000371	1.000452	1.00045	1.000433	1.000394	1.000356	1.000444	1.000445	1.000447
1.22	1.000443	1.000447	1.000397	1.000451	1.000442	1.000374	1.000441	1.000426	1.000384	1.000423	1.000416	1.00044	1.000344	1.00042	1.00044	1.000467	1.000441	1.00031	1.000435	1.000354	1.000423	1.000417	1.000383	1.000416	1.000448	1.000339	1.000453	1.000454	1.000381	1.000402	1.000422	1.000427	1.000434	1.000429	1.000468	1.000369	1.000421	1.000443	1.000453	1.000419	1.000397	1.000371	1.000452	1.000451	1.000433	1.000395	1.000356	1.000445	1.000446	1.000447
1.24	1.000444	1.000448	1.000398	1.000452	1.000442	1.000375	1.000441	1.000427	1.000384	1.000424	1.000416	1.000441	1.000345	1.00042	1.00044	1.000467	1.000441	1.000311	1.000435	1.000355	1.000423	1.000417	1.000383	1.000416	1.000448	1.00034	1.000453	1.000454	1.000381	1.000402	1.000423	1.000428	1.000435	1.00043	1.000469	1.00037	1.000422	1.000443	1.000453	1.000419	1.000397	1.000372	1.000452	1.000451	1.000433	1.000395	1.000357	1.000445	1.000446	1.000447
1.26	1.000444	1.000448	1.000398	1.000452	1.000442	1.000375	1.000442	1.000427	1.000385	1.000424	1.000417	1.000441	1.000345	1.00042	1.00044	1.000468	1.000442	1.000311	1.000436	1.000355	1.000423	1.000417	1.000383	1.000417	1.000449	1.00034	1.000453	1.000455	1.000382	1.000403	1.000423	1.000428	1.000436	1.00043	1.000469	1.00037	1.000422	1.000444	1.000454	1.000419	1.000398	1.000372	1.000453	1.000451	1.000434	1.000396	1.000357	1.000446	1.000447	1.000448
1.28	1.000445	1.000449	1.000399	1.000453	1.000443	1.000376	1.000442	1.000428	1.000385	1.000424	1.000417	1.000441	1.000345	1.000421	1.000441	1.000468	1.000443	1.000311	1.000436	1.000356	1.000424	1.000418	1.000384	1.000417	1.000449	1.000341	1.000454	1.000455	1.000382	1.000403	1.000424	1.000429	1.000436	1.00043	1.000469	1.000371	1.000422	1.000444	1.000454	1.00042	1.000398	1.000373	1.000453	1.000452	1.000434	1.000396	1.000358	1.000446	1.000447	1.000448
1.3	1.000445	1.00045	1.000399	1.000454	1.000443	1.000376	1.000443	1.000428	1.000386	1.000425	1.000418	1.000442	1.000346	1.000421	1.000441	1.000469	1.000443	1.000311	1.000437	1.000356	1.000424	1.000418	1.000384	1.000418	1.00045	1.000342	1.000454	1.000455	1.000382	1.000403	1.000425	1.000429	1.000437	1.000431	1.00047	1.000371	1.000423	1.000444	1.000454	1.00042	1.000399	1.000373	1.000454	1.000452	1.000435	1.000397	1.000358	1.000447	1.000448	1.000448
1.32	1.000446	1.00045	1.0004	1.000455	1.000444	1.000376	1.000444	1.000429	1.000386	1.000425	1.000418	1.000442	1.000346	1.000421	1.000442	1.000469	1.000444	1.000311	1.000437	1.000357	1.000424	1.000419	1.000384	1.000418	1.00045	1.000342	1.000455	1.000456	1.000383	1.000403	1.000425	1.00043	1.000437	1.000431	1.00047	1.000371	1.000423	1.000445	1.000455	1.00042	1.000399	1.000373	1.000454	1.000453	1.000435	1.000397	1.000359	1.000447	1.000448	1.000448
1.34	1.000446	1.000451	1.0004	1.000456	1.000444	1.000377	1.000444	1.000429	1.000387	1.000425	1.000419	1.000442	1.000347	1.000422	1.000442	1.00047	1.000444	1.000311	1.000438	1.000357	1.000425	1.000419	1.000385	1.000418	1.000451	1.000343	1.000455	1.000456	1.000383	1.000404	1.000426	1.00043	1.000438	1.000432	1.000471	1.000372	1.000424	1.000445	1.000455	1.000421	1.0004	1.000374	1.000455	1.000453	1.000436	1.000398	1.000359	1.000448	1.000449	1.000449
1.36	1.000446	1.000452	1.000401	1.000457	1.000445	1.000377	1.000445	1.00043	1.000387	1.000426	1.000419	1.000442	1.000347	1.000422	1.000443	1.00047	1.000445	1.000312	1.000438	1.000358	1.000425	1.00042	1.000385	1.000419	1.000451	1.000343	1.000456	1.000456	1.000383	1.000404	1.000426	1.00043	1.000438	1.000432	1.000471	1.000372	1.000424	1.000446	1.000456	1.000421	1.000401	1.000374	1.000455	1.000454	1.000436	1.000398	1.000359	1.000449	1.000449	1.000449
1.38	1.000447	1.000452	1.000401	1.000458	1.000445	1.000378	1.000446	1.00043	1.000388	1.000426	1.00042	1.000443	1.000347	1.000422	1.000443	1.000471	1.000446	1.000312	1.000438	1.000358	1.000426	1.00042	1.000385	1.000419	1.000451	1.000344	1.000456	1.000456	1.000384	1.000404	1.000427	1.000431	1.000439	1.000433	1.000471	1.000373	1.000424	1.000446	1.000456	1.000421	1.000401	1.000375	1.000456	1.000454	1.000436	1.000399	1.00036	1.000449	1.00045	1.000449
1.4	1.000447	1.000453	1.000401	1.000459	1.000446	1.000378	1.000446	1.000431	1.000388	1.000426	1.00042	1.000443	1.000348	1.000422	1.000443	1.000471	1.000446	1.000312	1.000439	1.000359	1.000426	1.000421	1.000386	1.00042	1.000452	1.000344	1.000457	1.000457	1.000384	1.000405	1.000427	1.000431	1.000439	1.000433	1.000472	1.000373	1.000425	1.000446	1.000456	1.000422	1.000402	1.000375	1.000456	1.000455	1.000437	1.000399	1.00036	1.00045	1.00045	1.000449
1.42	1.000448	1.000454	1.000402	1.00046	1.000446	1.000378	1.000447	1.000431	1.000388	1.000426	1.000421	1.000443	1.000348	1.000423	1.000444	1.000472	1.000447	1.000312	1.000439	1.000359	1.000426	1.000421	1.000386	1.00042	1.000452	1.000345	1.000457	1.000457	1.000385	1.000405	1.000428	1.000432	1.00044	1.000433	1.000472	1.000374	1.000425	1.000447	1.000457	1.000422	1.000402	1.000376	1.000457	1.000455	1.000437	1.0004	1.000361	1.00045	1.000451	1.000449
1.44	1.000448	1.000454	1.000402	1.000461	1.000447	1.000379	1.000447	1.000432	1.000389	1.000427	1.000421	1.000444	1.000348	1.000423	1.000444	1.000472	1.000448	1.000312	1.00044	1.00036	1.000427	1.000422	1.000386	1.00042	1.000453	1.000345	1.000458	1.000457	1.000385	1.000405	1.000428	1.000432	1.000441	1.000434	1.000473	1.000374	1.000426	1.000447	1.000457	1.000422	1.000403	1.000376	1.000457	1.000456	1.000438	1.0004	1.000361	1.000451	1.000451	1.00045
1.46	1.000449	1.000455	1.000403	1.000462	1.000447	1.000379	1.000448	1.000432	1.000389	1.000427	1.000422	1.000444	1.000349	1.000423	1.000445	1.000473	1.000448	1.000312	1.00044	1.00036	1.000427	1.000422	1.000387	1.000421	1.000453	1.000346	1.000458	1.000458	1.000385	1.000405	1.000429	1.000433	1.000441	1.000434	1.000473	1.000374	1.000426	1.000447	1.000458	1.000423	1.000403	1.000376	1.000458	1.000456	1.000438	1.000401	1.000362	1.000452	1.000452	1.00045
1.48	1.000449	1.000456	1.000403	1.000462	1.000448	1.000379	1.000449	1.000433	1.00039	1.000427	1.000422	1.000444	1.000349	1.000424	1.000445	1.000473	1.000449	1.000312	1.000441	1.000361	1.000427	1.000423	1.000387	1.000421	1.000454	1.000346	1.000459	1.000458	1.000386	1.000406	1.000429	1.000433	1.000442	1.000435	1.000473	1.000375	1.000426	1.000448	1.000458	1.000423	1.000404	1.000377	1.000458	1.000456	1.000438	1.000401	1.000362	1.000452	1.000452	1.00045
1.5	1.00045	1.000456	1.000404	1.000463	1.000448	1.00038	1.000449	1.000433	1.00039	1.000428	1.000423	1.000444	1.000349	1.000424	1.000446	1.000474	1.000449	1.000313	1.000441	1.000361	1.000428	1.000423	1.000387	1.000422	1.000454	1.000347	1.000459	1.000458	1.000386	1.000406	1.00043	1.000433	1.000442	1.000435	1.000474	1.000375	1.000427	1.000448	1.000458	1.000423	1.000405	1.000377	1.000459	1.000457	1.000439	1.000401	1.000362	1.000453	1.000453	1.00045
1.52	1.00045	1.000457	1.000404	1.000464	1.000449	1.00038	1.00045	1.000434	1.000391	1.000428	1.000423	1.000445	1.00035	1.000424	1.000446	1.000474	1.00045	1.000313	1.000442	1.000362	1.000428	1.000424	1.000388	1.000422	1.000454	1.000347	1.00046	1.000458	1.000386	1.000406	1.000431	1.000434	1.000443	1.000435	1.000474	1.000375	1.000427	1.000449	1.000459	1.000424	1.000405	1.000378	1.000459	1.000457	1.000439	1.000402	1.000363	1.000453	1.000453	1.000451
1.54	1.00045	1.000458	1.000404	1.000465	1.000449	1.00038	1.00045	1.000434	1.000391	1.000428	1.000423	1.000445	1.00035	1.000425	1.000447	1.000475	1.00045	1.000313	1.000442	1.000362	1.000428	1.000424	1.000388	1.000422	1.000455	1.000348	1.00046	1.000459	1.000386	1.000406	1.000431	1.000434	1.000443	1.000436	1.000475	1.000376	1.000427	1.000449	1.000459	1.000424	1.000406	1.000378	1.00046	1.000458	1.00044	1.000402	1.000363	1.000454	1.000454	1.000451
1.56	1.000451	1.000458	1.000405	1.000466	1.000449	1.000381	1.000451	1.000435	1.000391	1.000428	1.000424	1.000445	1.00035	1.000425	1.000447	1.000475	1.000451	1.000313	1.000443	1.000362	1.000429	1.000424	1.000388	1.000423	1.000455	1.000348	1.000461	1.000459	1.000387	1.000407	1.000432	1.000435	1.000444	1.000436	1.000475	1.000376	1.000428	1.000449	1.000459	1.000424	1.000406	1.000378	1.00046	1.000458	1.00044	1.000403	1.000364	1.000454	1.000454	1.000451
1.58	1.000451	1.000459	1.000405	1.000467	1.00045	1.000381	1.000452	1.000435	1.000392	1.000429	1.000424	1.000445	1.00035	1.000425	1.000447	1.000475	1.000452	1.000313	1.000443	1.000363	1.000429	1.000425	1.000388	1.000423	1.000456	1.000349	1.000461	1.000459	1.000387	1.000407	1.000432	1.000435	1.000444	1.000436	1.000475	1.000377	1.000428	1.00045	1.00046	1.000424	1.000407	1.000379	1.000461	1.000459	1.00044	1.000403	1.000364	1.000455	1.000454	1.000451
1.6	1.000452	1.000459	1.000406	1.000468	1.00045	1.000381	1.000452	1.000436	1.000392	1.000429	1.000425	1.000446	1.000351	1.000425	1.000448	1.000476	1.000452	1.000313	1.000444	1.000363	1.000429	1.000425	1.000389	1.000423	1.000456	1.000349	1.000461	1.000459	1.000387	1.000407	1.000433	1.000435	1.000445	1.000437	1.000476	1.000377	1.000428	1.00045	1.00046	1.000425	1.000407	1.000379	1.000461	1.000459	1.000441	1.000403	1.000364	1.000455	1.000455	1.000451
1.62	1.000452	1.00046	1.000406	1.000469	1.000451	1.000382	1.000453	1.000436	1.000393	1.000429	1.000425	1.000446	1.000351	1.000426	1.000448	1.000476	1.000452	1.000313	1.000444	1.000363	1.00043	1.000426	1.000389	1.000424	1.000456	1.000349	1.000462	1.000459	1.000388	1.000407	1.000433	1.000436	1.000445	1.000437	1.000476	1.000377	1.000429	1.00045	1.00046	1.000425	1.000408	1.000379	1.000461	1.000459	1.000441	1.000404	1.000365	1.000456	1.000455	1.000452
1.64	1.000452	1.000461	1.000406	1.000469	1.000451	1.000382	1.000453	1.000436	1.000393	1.000429	1.000425	1.000446	1.000351	1.000426	1.000448	1.000477	1.000453	1.000313	1.000444	1.000364	1.00043	1.000426	1.000389	1.000424	1.000457	1.00035	1.000462	1.00046	1.000388	1.000407	1.000434	1.000436	1.000445	1.000437	1.000476	1.000378	1.000429	1.00045	1.000461	1.000425	1.000408	1.00038	1.000462	1.00046	1.000441	1.000404	1.000365	1.000456	1.000456	1.000452
1.66	1.000452	1.000461	1.000407	1.00047	1.000451	1.000382	1.000454	1.000437	1.000393	1.000429	1.000426	1.000446	1.000351	1.000426	1.000449	1.000477	1.000453	1.000313	1.000445	1.000364	1.00043	1.000427	1.000389	1.000424	1.000457	1.00035	1.000462	1.00046	1.000388	1.000408	1.000434	1.000436	1.000446	1.000438	1.000477	1.000378	1.000429	1.000451	1.000461	1.000425	1.000409	1.00038	1.000462	1.00046	1.000442	1.000404	1.000365	1.000457	1.000456	1.000452
1.68	1.000453	1.000462	1.000407	1.000471	1.000452	1.000382	1.000454	1.000437	1.000393	1.00043	1.000426	1.000446	1.000351	1.000426	1.000449	1.000478	1.000454	1.000313	1.000445	1.000364	1.00043	1.000427	1.00039	1.000424	1.000457	1.00035	1.000463	1.00046	1.000388	1.000408	1.000434	1.000436	1.000446	1.000438	1.000477	1.000378	1.000429	1.000451	1.000461	1.000426	1.000409	1.00038	1.000462	1.00046	1.000442	1.000405	1.000366	1.000457	1.000456	1.000452
1.7	1.000453	1.000462	1.000407	1.000472	1.000452	1.000382	1.000454	1.000437	1.000394	1.00043	1.000426	1.000446	1.000352	1.000426	1.000449	1.000478	1.000454	1.000313	1.000446	1.000365	1.000431	1.000427	1.00039	1.000424	1.000457	1.00035	1.000463	1.00046	1.000388	1.000408	1.000435	1.000437	1.000447	1.000438	1.000477	1.000378	1.000429	1.000451	1.000462	1.000426	1.000409	1.00038	1.000463	1.00046	1.000442	1.000405	1.000366	1.000458	1.000457	1.000452
1.72	1.000453	1.000462	1.000407	1.000472	1.000452	1.000382	1.000455	1.000438	1.000394	1.00043	1.000427	1.000447	1.000352	1.000426	1.00045	1.000478	1.000454	1.000313	1.000446	1.000365	1.000431	1.000428	1.00039	1.000425	1.000458	1.000351	1.000463	1.00046	1.000389	1.000408	1.000435	1.000437	1.000447	1.000438	1.000477	1.000378	1.00043	1.000451	1.000462	1.000426	1.00041	1.00038	1.000463	1.000461	1.000442	1.000405	1.000366	1.000458	1.000457	1.000452
1.74	1.000453	1.000463	1.000408	1.000473	1.000453	1.000383	1.000455	1.000438	1.000394	1.00043	1.000427	1.000447	1.000352	1.000427	1.00045	1.000479	1.000455	1.000313	1.000446	1.000365	1.000431	1.000428	1.00039	1.000425	1.000458	1.000351	1.000464	1.00046	1.000389	1.000408	1.000435	1.000437	1.000447	1.000438	1.000478	1.000379	1.00043	1.000452	1.000462	1.000426	1.00041	1.000381	1.000463	1.000461	1.000443	1.000405	1.000366	1.000458	1.000457	1.000452
1.76	1.000454	1.000463	1.000408	1.000473	1.000453	1.000383	1.000456	1.000438	1.000394	1.00043	1.000427	1.000447	1.000352	1.000427	1.00045	1.000479	1.000455	1.000313	1.000446	1.000365	1.000431	1.000428	1.00039	1.000425	1.000458	1.000351	1.000464	1.00046	1.000389	1.000408	1.000436	1.000437	1.000447	1.000439	1.000478	1.000379	1.00043	1.000452	1.000462	1.000426	1.00041	1.000381	1.000463	1.000461	1.000443	1.000406	1.000366	1.000459	1.000457	1.000452
1.78	1.000454	1.000463	1.000408	1.000474	1.000453	1.000383	1.000456	1.000438	1.000394	1.00043	1.000427	1.000447	1.000352	1.000427	1.00045	1.000479	1.000455	1.000313	1.000447	1.000365	1.000431	1.000428	1.00039	1.000425	1.000458	1.000351	1.000464	1.00046	1.000389	1.000408	1.000436	1.000437	1.000448	1.000439	1.000478	1.000379	1.00043	1.000452	1.000462	1.000426	1.000411	1.000381	1.000464	1.000461	1.000443	1.000406	1.000367	1.000459	1.000457	1.000452
1.8	1.000454	1.000464	1.000408	1.000474	1.000453	1.000383	1.000456	1.000438	1.000394	1.00043	1.000428	1.000447	1.000352	1.000427	1.000451	1.000479	1.000455	1.000313	1.000447	1.000365	1.000431	1.000428	1.00039	1.000425	1.000458	1.000351	1.000464	1.00046	1.000389	1.000408	1.000436	1.000437	1.000448	1.000439	1.000478	1.000379	1.00043	1.000452	1.000462	1.000426	1.000411	1.000381	1.000464	1.000461	1.000443	1.000406	1.000367	1.000459	1.000458	1.000452
1.82	1.000454	1.000464	1.000408	1.000475	1.000453	1.000383	1.000456	1.000438	1.000394	1.00043	1.000428	1.000447	1.000352	1.000427	1.000451	1.00048	1.000456	1.000313	1.000447	1.000365	1.000431	1.000429	1.00039	1.000425	1.000458	1.000351	1.000464	1.00046	1.000389	1.000408	1.000436	1.000437	1.000448	1.000439	1.000478	1.000379	1.00043	1.000452	1.000462	1.000426	1.000411	1.000381	1.000464	1.000461	1.000443	1.000406	1.000367	1.000459	1.000458	1.000452
1.84	1.000454	1.000464	1.000408	1.000475	1.000454	1.000383	1.000456	1.000438	1.000394	1.00043	1.000428	1.000447	1.000351	1.000427	1.000451	1.00048	1.000456	1.000313	1.000447	1.000365	1.000431	1.000429	1.00039	1.000425	1.000459	1.000351	1.000464	1.00046	1.000389	1.000408	1.000436	1.000437	1.000448	1.000439	1.000478	1.000379	1.00043	1.000452	1.000463	1.000426	1.000411	1.000381	1.000464	1.000462	1.000443	1.000406	1.000367	1.000459	1.000458	1.000452
1.86	1.000454	1.000464	1.000408	1.000475	1.000454	1.000382	1.000457	1.000438	1.000394	1.00043	1.000428	1.000447	1.000351	1.000427	1.000451	1.00048	1.000456	1.000313	1.000447	1.000365	1.000431	1.000429	1.00039	1.000425	1.000459	1.000351	1.000464	1.00046	1.000389	1.000408	1.000436	1.000437	1.000448	1.000439	1.000478	1.000379	1.00043	1.000452	1.000463	1.000426	1.000411	1.000381	1.000464	1.000462	1.000443	1.000406	1.000367	1.000459	1.000458	1.000452
1.88	1.000454	1.000464	1.000408	1.000476	1.000454	1.000382	1.000457	1.000438	1.000394	1.00043	1.000428	1.000447	1.000351	1.000427	1.000451	1.00048	1.000456	1.000312	1.000447	1.000365	1.000431	1.000429	1.00039	1.000425	1.000459	1.000351	1.000464	1.00046	1.000389	1.000408	1.000436	1.000437	1.000448	1.000439	1.000478	1.000379	1.00043	1.000452	1.000463	1.000426	1.000411	1.000381	1.000464	1.000462	1.000443	1.000406	1.000367	1.000459	1.000458	1.000452
1.9	1.000454	1.000465	1.000408	1.000476	1.000454	1.000382	1.000457	1.000438	1.000394	1.00043	1.000428	1.000447	1.000351	1.000427	1.000451	1.00048	1.000456	1.000312	1.000447	1.000365	1.000431	1.000429	1.00039	1.000425	1.000459	1.000351	1.000464	1.00046	1.000389	1.000408	1.000436	1.000437	1.000448	1.000439	1.000478	1.000379	1.00043	1.000452	1.000463	1.000426	1.000411	1.00038	1.000464	1.000461	1.000443	1.000406	1.000367	1.000459	1.000458	1.000452
1.92	1.000454	1.000465	1.000408	1.000476	1.000454	1.000382	1.000457	1.000438	1.000394	1.00043	1.000428	1.000447	1.000351	1.000427	1.000451	1.00048	1.000456	1.000312	1.000447	1.000364	1.000431	1.000429	1.00039	1.000425	1.000458	1.00035	1.000464	1.00046	1.000389	1.000408	1.000436	1.000437	1.000448	1.000439	1.000478	1.000379	1.00043	1.000452	1.000462	1.000426	1.000411	1.00038	1.000464	1.000461	1.000443	1.000405	1.000367	1.000459	1.000458	1.000452
1.94	1.000454	1.000465	1.000408	1.000476	1.000454	1.000382	1.000457	1.000438	1.000393	1.00043	1.000428	1.000447	1.00035	1.000426	1.000451	1.00048	1.000455	1.000312	1.000447	1.000364	1.000431	1.000429	1.00039	1.000424	1.000458	1.00035	1.000464	1.00046	1.000388	1.000408	1.000436	1.000437	1.000448	1.000439	1.000478	1.000379	1.000429	1.000452	1.000462	1.000426	1.000411	1.00038	1.000464	1.000461	1.000443	1.000405	1.000366	1.000459	1.000458	1.000452
1.96	1.000454	1.000464	1.000408	1.000476	1.000454	1.000381	1.000457	1.000438	1.000393	1.000429	1.000428	1.000447	1.00035	1.000426	1.000451	1.00048	1.000455	1.000311	1.000447	1.000364	1.000431	1.000429	1.000389	1.000424	1.000458	1.00035	1.000464	1.00046	1.000388	1.000408	1.000436	1.000437	1.000448	1.000438	1.000478	1.000379	1.000429	1.000452	1.000462	1.000426	1.000411	1.00038	1.000464	1.000461	1.000443	1.000405	1.000366	1.000459	1.000458	1.000452
1.98	1.000454	1.000464	1.000408	1.000476	1.000453	1.000381	1.000456	1.000438	1.000393	1.000429	1.000427	1.000447	1.00035	1.000426	1.00045	1.00048	1.000455	1.000311	1.000447	1.000364	1.000431	1.000429	1.000389	1.000424	1.000458	1.000349	1.000464	1.00046	1.000388	1.000407	1.000436	1.000436	1.000448	1.000438	1.000478	1.000378	1.000429	1.000452	1.000462	1.000426	1.000411	1.00038	1.000464	1.000461	1.000443	1.000405	1.000366	1.000459	1.000457	1.000452
